date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:52:14	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2030%20Mar%202025%2019:52:14%20GMT	https://baohiemxahoi.asia/robots.txt		(from )
13:52:14	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2030%20Mar%202025%2019:52:14%20GMT	https://baohiemxahoi.asia/	C:/My%20Web%20Sites/Webcode/baohiemxahoi.asia/index.html	(from )
13:52:14	6560/6560	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Mar%202025%2019:52:14%20GMT	https://baohiemxahoi.asia/pages/login.php	C:/My%20Web%20Sites/Webcode/baohiemxahoi.asia/pages/login.html	(from https://baohiemxahoi.asia/)
13:52:15	20783/20783	---M-Z	200	added ('OK')	text/css	date:Mon,%2024%20Mar%202025%2015:12:21%20GMT	https://baohiemxahoi.asia/public/css/style.css	C:/My%20Web%20Sites/Webcode/baohiemxahoi.asia/public/css/style.css	(from https://baohiemxahoi.asia/pages/login.php)
13:52:15	104502/104502	---M-Z	200	added ('OK')	text/css	etag:%22673e23f5-6d58%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.7.1/css/all.min.css	C:/My%20Web%20Sites/Webcode/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.7.1/css/all.min.css	(from https://baohiemxahoi.asia/pages/login.php)
13:52:15	130942/130942	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Mar%202025%2015:12:21%20GMT	https://baohiemxahoi.asia/image/thuedinetu.png	C:/My%20Web%20Sites/Webcode/baohiemxahoi.asia/image/thuedinetu.png	(from https://baohiemxahoi.asia/pages/login.php)
13:52:15	4508/4508	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Mar%202025%2019:52:15%20GMT	https://baohiemxahoi.asia/pages/end-loading.php	C:/My%20Web%20Sites/Webcode/baohiemxahoi.asia/pages/end-loading.html	(from https://baohiemxahoi.asia/pages/login.php)
13:52:16	11866/11866	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2024%20Mar%202025%2015:12:21%20GMT	https://baohiemxahoi.asia/public/js/style.js	C:/My%20Web%20Sites/Webcode/baohiemxahoi.asia/public/js/style.js	(from https://baohiemxahoi.asia/pages/login.php)
13:52:16	77848/77848	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Mar%202025%2015:12:21%20GMT	https://baohiemxahoi.asia/image/1679018362827_unnamed.png	C:/My%20Web%20Sites/Webcode/baohiemxahoi.asia/image/1679018362827_unnamed.png	(from https://baohiemxahoi.asia/pages/login.php)
13:52:16	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2030%20Mar%202025%2019:52:16%20GMT	https://baohiemxahoi.asia/pages/POST	C:/My%20Web%20Sites/Webcode/baohiemxahoi.asia/pages/POST	(from https://baohiemxahoi.asia/pages/login.php)
13:52:16	77/77	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Mar%202025%2019:52:16%20GMT	https://baohiemxahoi.asia/pages/process_login.php	C:/My%20Web%20Sites/Webcode/baohiemxahoi.asia/pages/process_login.html	(from https://baohiemxahoi.asia/pages/login.php)
13:52:17	2065/2065	---M-Z	302	error ('Found')	text/html	date:Sun,%2030%20Mar%202025%2019:52:16%20GMT	https://baohiemxahoi.asia/pages/home.php	C:/My%20Web%20Sites/Webcode/baohiemxahoi.asia/pages/home.php	(from https://baohiemxahoi.asia/pages/login.php)
13:52:17	181916/181916	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Mar%202025%2015:12:21%20GMT	https://baohiemxahoi.asia/image/trongdong.png	C:/My%20Web%20Sites/Webcode/baohiemxahoi.asia/image/trongdong.png	(from https://baohiemxahoi.asia/public/css/style.css)
13:52:17	507631/507631	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Mar%202025%2015:12:21%20GMT	https://baohiemxahoi.asia/image/background.png	C:/My%20Web%20Sites/Webcode/baohiemxahoi.asia/image/background.png	(from https://baohiemxahoi.asia/public/css/style.css)
13:52:18	537894/537894	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Mar%202025%2015:12:21%20GMT	https://baohiemxahoi.asia/image/trong.png	C:/My%20Web%20Sites/Webcode/baohiemxahoi.asia/image/trong.png	(from https://baohiemxahoi.asia/public/css/style.css)
13:52:18	2065/2065	---M-Z	302	error ('Found')	text/html	date:Sun,%2030%20Mar%202025%2019:52:18%20GMT	https://baohiemxahoi.asia/pages/confirm.php	C:/My%20Web%20Sites/Webcode/baohiemxahoi.asia/pages/confirm.php	(from https://baohiemxahoi.asia/pages/end-loading.php)
13:52:18	200859/200859	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Mar%202025%2015:12:21%20GMT	https://baohiemxahoi.asia/image/theunotexxt%20(1).png	C:/My%20Web%20Sites/Webcode/baohiemxahoi.asia/image/theunotexxt%20(1).png	(from https://baohiemxahoi.asia/pages/end-loading.php)
